population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1988,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1989,260696.3266378953,290459.4889285768,234091.01379374595
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1989,0.005481583210027436,0.006097370118060186,0.004916733337635384
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1989,3003017.7163398853,3377958.2621674463,2673974.254779609
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1989,0.06314461523915092,0.07097312792191475,0.056208878028843806
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1989,1150654.6145175928,1929565.8166766278,495697.34429511125
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1989,0.024192067756692873,0.040461741589677885,0.010457504095858087
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1989,778717.9195419212,1403197.726655528,385461.4802939332
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1989,0.016375462789168533,0.02951791863268426,0.008131300341524591
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1983,16188.782405988532,45760.97112513162,5930.860268346354
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1983,0.000348617483065586,0.0009889796544437942,0.00012803464410829886
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1983,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1983,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1989,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1989,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,341990.068164781,377387.47045649006,309657.28781373875
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1990,0.007133931097800887,0.007881965233632125,0.006453391889424665
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1990,2972434.6010997817,3336380.002369333,2638875.7991396375
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1990,0.06200588617823189,0.06959606357397682,0.054960535286544515
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1990,1102876.1726720026,1854292.3899593474,474617.6076493064
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1990,0.023005347460468593,0.03898397187320668,0.009941336352793985
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1990,784046.9707331349,1411076.853742681,394299.1496854158
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1990,0.016357320830927627,0.0294065526106502,0.008237476629049636
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1990,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1990,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1991,803565.7315207637,1431773.6641909871,407011.81752947165
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1991,0.01660857403820165,0.02958443306107914,0.00843375855100031
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1991,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1991,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1984,16511.4591230993,40728.163493426975,6188.234321750868
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1984,0.00035280942765509194,0.0008703465553206484,0.0001318622775103665
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1984,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1984,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1991,435369.63737562357,478582.62555785774,398895.3603693131
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1991,0.008997349948625393,0.009886365798685,0.008263282791264967
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1991,2929793.223139215,3280711.8022312876,2605482.4324529297
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1991,0.06054767169522396,0.06809657889018239,0.05373207696762104
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1991,1061089.445750303,1819551.3645806462,455261.2668389824
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1991,0.02192742949681593,0.037768440408640976,0.009459543526361643
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1985,16724.40179999688,38860.81177907256,6257.369565171392
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1985,0.00035649902263916786,0.0008279340912393796,0.0001334551970602704
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1985,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1985,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1986,17257.87344797313,38874.694147667404,6488.543755853679
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1986,0.0003680800175385995,0.0008341170075735835,0.00013897031955183842
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1986,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1986,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1987,17833.5201116496,41750.31832274084,6308.43782919894
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1987,0.00037944483160462196,0.0008826761857716728,0.00013438964639334922
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1987,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1987,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1988,18310.655177354587,41549.51231372605,5726.67028474484
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1988,0.00038643663491314353,0.000877813932268454,0.00012132061247509549
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1989,19083.545304123218,44329.80355117786,5765.584387358124
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1989,0.0004012805902062721,0.0009342335796268228,0.00012138344493911234
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1989,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1989,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1992,538008.1713102777,586654.0593005007,495196.0433894183
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1992,0.01109595463950238,0.012125475376094555,0.010206229900051577
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1992,2904424.8680485464,3253717.7270581275,2583844.449721328
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1992,0.0599013653511002,0.06740716237987246,0.05356491289297571
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1992,1027844.0647234202,1763697.2286556778,448054.59732136515
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1992,0.02119822443571296,0.03647024341262463,0.009302929304514405
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1988,0.0,0.0,0.0
